age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income>50K
53,1,93449,4,15,0,5,2,1,1,0,0,40,7,1
33,1,123424,0,13,0,4,2,0,1,0,0,40,0,1
47,0,144844,3,9,0,1,2,0,1,0,0,40,0,0
40,0,114580,3,9,1,1,4,0,0,0,0,40,19,0
39,0,115618,3,9,0,10,2,0,1,0,0,50,0,0
33,0,159322,3,9,1,2,5,0,1,0,0,40,0,0
55,0,50164,13,16,0,4,2,0,1,0,0,60,0,1
39,0,370032,10,14,0,5,2,0,1,0,0,45,0,0
22,0,209034,1,10,2,2,3,0,0,0,0,35,0,0
27,0,94090,1,10,0,7,2,0,1,0,0,50,0,0
33,0,105974,3,9,2,1,3,0,1,0,0,41,0,0
37,3,32528,3,9,0,8,2,0,1,0,0,40,2,1
79,4,84616,2,7,0,4,2,0,1,0,0,7,0,0
31,0,56026,3,9,0,1,2,0,1,0,0,40,0,0
37,0,61518,3,9,0,3,2,0,1,0,0,50,0,0
47,0,503454,9,8,2,8,4,4,0,0,0,40,0,0
19,0,91893,1,10,2,6,1,0,1,0,0,24,0,0
21,0,214399,1,10,2,2,1,0,0,0,1721,24,0,0
56,2,321529,1,10,0,4,2,0,1,15024,0,40,0,1
26,0,111058,0,13,2,3,1,0,1,0,0,50,0,0
27,0,255476,14,3,2,2,4,0,1,0,0,40,20,0
55,0,335276,1,10,2,8,1,0,0,0,0,40,0,0
42,4,117227,10,14,1,5,5,0,0,0,0,45,0,0
30,0,197058,5,12,2,5,3,0,0,0,0,40,0,0
56,0,199713,7,5,0,1,2,0,1,0,0,40,0,0
35,3,22494,0,13,1,5,3,0,0,0,0,50,0,1
19,0,141418,1,10,2,5,1,0,1,0,0,15,0,0
56,4,273084,10,14,0,4,2,4,1,0,0,40,0,1
68,1,122094,3,9,0,1,2,0,1,0,0,15,0,0
38,0,203717,0,13,0,9,2,0,1,0,0,60,0,0
21,0,163665,1,10,2,5,1,0,0,0,0,40,0,0
34,4,161113,1,10,0,10,2,0,1,0,0,40,0,0
32,0,195576,2,7,0,7,2,0,1,0,0,40,0,0
72,0,74141,7,5,0,4,0,1,0,0,0,48,0,1
24,0,209417,1,10,0,3,2,0,1,7298,0,60,0,1
19,0,183532,1,10,2,6,1,0,1,0,0,25,0,0
50,0,102346,3,9,1,8,5,0,0,0,0,36,0,0
28,0,162298,3,9,2,1,1,0,1,0,0,40,0,0
72,0,164724,0,13,1,3,5,0,0,0,0,28,0,0
49,0,59380,1,10,5,8,3,0,0,0,0,40,0,0
37,0,188069,3,9,0,7,2,0,1,0,0,40,0,0
29,0,142712,0,13,0,4,2,0,1,0,0,40,0,1
51,4,146181,7,5,0,10,2,4,1,0,0,40,0,0
48,2,38240,3,9,0,9,2,0,1,0,0,40,0,1
41,0,242804,3,9,0,10,2,0,1,0,0,40,0,0
27,0,110648,0,13,2,0,1,0,1,0,0,40,0,0
32,0,223212,15,1,0,7,2,0,1,0,0,40,20,0
48,0,320421,3,9,0,3,2,0,1,0,0,50,0,0
40,0,184471,1,10,1,7,3,0,1,0,0,40,0,0
30,5,54318,2,7,0,10,2,0,1,0,0,40,0,0
51,0,165637,10,14,0,5,2,0,1,0,0,40,0,0
37,0,135089,1,10,1,2,5,0,0,0,0,56,0,0
66,0,236879,15,1,4,11,4,0,0,0,0,40,31,0
60,0,101198,6,11,1,2,3,0,1,0,0,20,0,0
20,0,332194,3,9,2,6,1,4,1,0,0,20,0,0
76,0,82628,8,4,0,2,2,0,1,0,0,45,0,0
35,0,276552,3,9,1,1,3,0,1,0,0,40,0,0
45,0,214627,13,16,4,5,5,0,1,15020,0,40,13,1
51,1,120781,4,15,0,5,2,3,1,99999,0,70,7,1
52,4,146565,5,12,1,2,3,0,0,4865,0,30,0,0
33,0,176185,9,8,1,1,3,0,1,0,2258,42,0,0
38,5,149135,5,12,2,8,3,4,1,0,0,40,0,0
35,5,227128,3,9,1,1,1,0,1,0,0,40,0,0
34,0,140092,3,9,2,0,3,0,1,0,0,40,0,0
18,0,192022,1,10,2,2,1,0,1,0,0,20,0,0
44,0,163215,9,8,1,7,5,0,0,0,0,40,0,0
42,1,217597,3,9,1,3,1,0,1,0,0,50,0,0
47,4,140644,1,10,0,12,2,0,1,0,0,40,0,1
26,0,37898,6,11,2,1,3,0,1,0,0,65,0,0
33,0,240763,1,10,0,7,2,4,1,0,0,40,0,0
42,0,136986,3,9,0,1,2,0,1,7688,0,50,0,1
51,4,101119,3,9,0,12,2,0,1,0,0,70,0,0
59,1,124771,0,13,0,9,2,0,1,0,0,30,0,0
31,0,171871,10,14,2,5,3,0,0,0,0,46,0,0
45,0,135339,1,10,0,1,2,1,1,0,0,45,0,0
39,1,222204,1,10,1,2,3,0,0,3325,0,40,0,0
56,3,255386,1,10,0,8,2,1,1,0,0,40,25,0
35,0,211154,3,9,0,3,2,0,1,0,0,45,0,0
75,1,31428,3,9,0,9,2,0,1,3456,0,40,0,0
71,1,31781,3,9,0,9,2,0,1,0,1510,35,0,0
46,1,317253,3,9,0,1,2,0,1,0,0,25,0,0
37,0,333305,13,16,0,5,0,0,0,0,0,35,0,0
30,0,337908,5,12,0,8,0,4,0,0,0,20,0,0
75,5,220618,1,10,4,8,3,0,0,0,0,10,0,0
29,0,179768,1,10,0,1,2,0,1,0,0,50,0,0
51,0,231919,2,7,0,1,2,0,1,0,0,45,0,0
41,0,34037,3,9,2,6,3,0,1,0,0,40,0,0
18,0,28357,1,10,2,5,1,0,0,0,0,20,0,0
30,4,19302,3,9,0,1,2,0,1,4386,0,70,5,1
35,0,200426,6,11,5,5,5,0,0,0,0,44,0,0
40,0,240698,0,13,0,4,2,0,1,0,0,50,0,1
39,0,193689,1,10,0,7,2,0,1,0,0,40,0,0
42,4,263871,3,9,0,8,2,0,1,0,0,8,0,0
46,2,283004,6,11,1,4,5,1,0,0,0,63,34,0
40,3,199303,5,12,0,5,2,0,1,0,0,40,0,1
31,4,48520,5,12,2,12,5,0,1,0,0,40,0,0
23,0,181820,1,10,2,6,1,0,1,0,0,20,0,0
68,2,31661,3,9,0,9,2,0,1,0,0,65,0,0
41,0,183203,3,9,0,10,2,0,1,0,0,50,0,1
23,4,250165,0,13,2,5,1,0,0,594,0,40,0,0
17,0,313444,9,8,2,3,1,0,0,0,0,20,0,0
54,0,146551,3,9,0,8,2,0,1,0,0,54,0,1
36,0,188571,3,9,0,1,2,0,1,0,0,40,0,0
60,0,216574,0,13,1,4,3,0,0,0,0,40,0,1
53,4,283602,10,14,0,5,0,0,0,15024,0,40,0,1
54,0,155408,3,9,4,6,5,0,0,0,0,40,0,0
25,4,206002,3,9,1,0,5,0,0,0,0,40,0,0
21,0,92863,3,9,2,7,3,0,1,0,0,40,0,0
34,0,157024,12,6,2,2,5,4,0,0,0,20,0,0
57,0,217886,3,9,4,8,3,0,0,0,0,36,0,0
41,0,96635,3,9,2,4,3,1,1,0,0,60,0,0
32,0,206541,2,7,1,1,1,0,1,0,0,50,0,0
28,4,197932,1,10,2,8,1,0,0,0,0,16,0,0
47,0,268022,3,9,0,10,2,0,1,0,0,55,0,1
39,0,121468,0,13,2,4,1,1,0,0,0,35,0,0
26,0,410240,2,7,2,1,3,0,1,0,0,40,0,0
29,4,211032,5,12,0,12,2,0,1,0,0,72,0,1
30,0,112115,3,9,0,7,2,0,1,0,0,60,22,1
27,0,124953,3,9,2,2,3,0,1,0,1980,40,0,0
46,3,344415,10,14,0,13,2,0,1,0,1887,40,0,1
33,0,198727,3,9,1,0,3,0,0,0,0,40,0,0
23,0,193586,1,10,3,9,4,0,0,0,0,40,0,0
24,0,108495,3,9,2,5,1,0,1,0,0,40,0,0
50,0,125417,0,13,0,4,2,0,1,7298,0,65,0,1
46,0,110151,6,11,1,4,5,0,0,0,0,45,0,0
37,1,150993,2,7,0,10,2,0,1,0,0,45,0,0
47,4,246891,0,13,0,12,2,0,1,0,0,40,0,0
55,0,107308,6,11,0,7,2,0,1,0,0,40,0,0
43,0,194636,0,13,0,1,2,0,1,0,0,48,0,1
55,0,200992,1,10,4,2,3,0,0,0,0,35,0,0
37,0,280966,1,10,0,7,2,0,1,0,0,50,0,1
34,0,235271,1,10,2,7,1,0,1,0,0,86,0,1
41,0,307589,0,13,0,5,0,1,0,0,0,5,15,0
49,0,48120,3,9,2,10,5,4,0,1506,0,40,0,0
58,0,142182,3,9,0,1,2,0,1,0,0,25,0,0
23,0,62507,1,10,2,5,3,0,0,0,0,12,0,0
57,0,190942,11,2,4,11,3,4,0,0,0,30,0,0
35,0,112158,12,6,0,1,2,0,1,0,0,40,0,0
30,0,143526,0,13,2,3,1,0,1,0,0,40,0,0
21,0,26842,1,10,2,3,3,0,0,0,0,20,0,0
31,0,175548,3,9,2,2,3,3,0,0,0,35,0,0
53,5,197184,10,14,0,4,2,0,1,0,0,70,0,1
66,2,197816,0,13,0,4,2,0,1,10605,0,40,0,1
58,0,107897,0,13,0,4,2,0,1,7688,0,40,0,1
26,0,187248,3,9,0,5,3,4,1,0,0,40,0,0
27,0,445365,0,13,2,8,3,0,1,0,0,40,0,0
20,0,163911,1,10,2,5,1,0,0,0,0,40,0,0
51,0,163027,3,9,1,6,5,0,0,0,0,20,0,0
43,0,243580,0,13,0,5,2,0,1,0,0,40,0,1
37,0,259882,6,11,2,3,5,4,0,0,0,6,0,0
20,0,190772,5,12,2,2,3,0,0,0,0,40,0,0
38,0,101387,3,9,0,2,0,0,0,0,0,43,0,0
27,0,267325,3,9,0,3,0,0,0,3464,0,40,0,0
44,2,64632,13,16,0,5,2,0,1,0,0,60,0,0
39,0,205338,0,13,0,3,2,0,1,0,0,60,0,0
50,0,163671,3,9,0,1,2,0,1,0,0,40,0,0
64,0,217802,3,9,4,1,3,0,0,0,0,40,0,0
61,0,119684,3,9,0,2,2,0,1,0,0,50,0,0
38,4,123983,0,13,2,4,5,1,1,0,1741,40,19,0
31,0,163303,6,11,1,3,1,0,0,0,0,38,0,0
19,0,40425,1,10,2,3,3,0,0,0,0,28,0,0
37,2,291518,0,13,0,1,2,0,1,15024,0,55,0,1
24,0,174845,3,9,2,8,3,0,0,0,0,40,0,0
39,0,191342,0,13,0,1,2,1,1,0,0,40,15,1
34,0,173854,10,14,1,4,3,0,1,27828,0,60,0,1
24,0,196388,5,12,2,5,3,0,1,0,0,12,0,0
38,0,143123,3,9,0,1,2,0,1,0,0,40,0,0
33,1,24504,1,10,0,1,2,0,1,0,0,60,0,0
33,0,400416,12,6,2,2,1,4,1,0,0,20,0,0
25,0,174545,3,9,2,8,5,0,0,0,0,46,0,0
36,1,258289,3,9,2,1,1,0,1,0,0,35,0,0
49,0,82572,1,10,2,2,3,0,0,0,0,60,0,0
39,3,257175,0,13,1,0,5,4,0,0,625,40,0,0
26,0,152855,3,9,2,4,1,3,0,0,0,40,20,0
70,0,278139,3,9,0,3,2,0,1,3432,0,40,0,0
57,1,57071,1,10,0,1,2,0,1,3137,0,40,0,0
28,0,109001,10,14,0,5,2,0,1,0,0,38,0,1
19,0,282698,8,4,2,8,1,0,1,0,0,80,0,0
34,3,341051,10,14,0,8,2,0,1,0,0,50,0,1
21,0,376393,3,9,2,8,1,0,0,0,0,25,0,0
38,0,324053,0,13,0,3,2,0,1,0,0,40,0,1
90,0,51744,3,9,2,2,3,4,1,0,2206,40,0,0
32,2,124052,3,9,0,3,2,0,1,0,0,50,0,0
33,0,272669,5,12,2,8,5,1,1,0,0,30,39,0
46,1,525848,2,7,0,10,2,4,1,0,0,48,0,0
34,1,313729,0,13,0,3,2,0,1,0,0,60,0,1
41,0,173858,3,9,0,2,2,1,1,0,0,40,11,0
19,0,80978,3,9,2,5,1,0,0,0,0,25,0,0
33,1,175502,0,13,0,5,2,0,1,0,0,60,0,0
30,0,53285,6,11,0,7,2,0,1,0,0,40,0,0
25,0,135845,1,10,2,8,1,0,0,0,0,40,0,0
25,0,188507,8,4,2,7,4,0,0,0,0,40,24,0
17,0,95446,12,6,2,2,1,0,1,0,0,15,0,0
47,0,274200,2,7,0,1,2,0,1,7298,0,40,0,1
51,0,105788,14,3,3,2,5,4,0,0,0,40,33,0
31,0,31510,5,12,0,1,2,0,1,0,0,40,0,0
33,0,195770,3,9,0,7,2,0,1,0,0,40,0,0
51,0,89652,3,9,1,8,5,0,0,4787,0,24,0,1
32,0,133530,10,14,0,5,0,1,0,0,0,20,0,0
24,0,192201,1,10,2,4,3,4,0,0,0,20,0,0
45,3,90533,0,13,2,4,3,0,0,0,0,45,0,0
